1980-01-01,-6.420000,-2.094000,-3.468000,-8.112000,-4.192000,-2.950000,-2.173000,-7.726000,7.329000,-8.449000,-0.934000,-3.113000,4.431000,-2.484000,-4.275000,-0.977000,-0.282000,-6.541000,-5.423000,-7.760000,1.098000,-8.707000,-4.312000,10.503000,-4.608000,-5.696000,-5.416000,-5.103000
1980-01-02,-7.436000,-0.931000,-4.867000,-10.105000,-5.504000,-4.117000,-5.697000,-6.851000,4.137000,-8.641000,-2.502000,-3.612000,4.462000,-4.587000,-7.116000,-1.241000,-0.245000,-6.695000,-3.763000,-6.739000,-0.271000,-13.395000,-4.689000,9.756000,-5.787000,-11.234000,-7.913000,-8.331000
1980-01-03,-9.394000,-1.790000,-5.007000,-8.244000,-9.612000,-6.220000,-7.004000,-6.636000,3.207000,-9.075000,-2.695000,-1.980000,3.105000,-6.950000,-7.710000,6.611000,-1.195000,-4.682000,-4.619000,-8.245000,-0.770000,-15.168000,-7.220000,7.284000,-4.341000,-14.257000,-9.308000,-8.730000
1980-01-04,-11.187000,-0.813000,-8.648000,-7.688000,-11.649000,-6.342000,-7.273000,-7.586000,4.558000,-12.329000,0.828000,2.987000,-0.550000,-9.095000,-12.540000,4.292000,-1.200000,-13.149000,-2.712000,-13.605000,-0.434000,-15.110000,-9.939000,6.729000,-8.277000,-16.459000,-10.779000,-12.764000
1980-01-05,-9.468000,1.502000,-10.401000,-3.070000,-10.860000,-1.098000,-1.766000,-8.753000,4.415000,-12.383000,2.876000,3.240000,-1.132000,-9.094000,-13.271000,4.881000,-0.850000,-14.097000,0.317000,-14.437000,1.767000,-12.146000,-10.930000,8.082000,-12.964000,-10.350000,-10.704000,-14.115000
1980-01-06,-5.295000,1.806000,-8.424000,-3.942000,-6.070000,-1.345000,-2.347000,-8.111000,2.880000,-9.750000,2.507000,2.735000,2.093000,-4.246000,-10.178000,2.711000,2.036000,-11.015000,0.337000,-10.222000,3.059000,-8.695000,-8.724000,6.280000,-13.108000,-5.870000,-4.697000,-11.207000
1980-01-07,-6.473000,1.270000,-4.140000,-5.176000,-6.434000,-3.546000,-3.956000,-7.828000,3.006000,-8.359000,1.415000,1.268000,5.218000,-5.192000,-9.656000,2.546000,1.516000,-12.537000,-0.679000,-7.319000,0.777000,-9.847000,-9.035000,7.591000,-9.979000,-6.557000,-5.857000,-10.284000
1980-01-08,-9.299000,-1.438000,-6.762000,-9.432000,-7.846000,-6.721000,-4.027000,-8.523000,4.096000,-10.303000,0.504000,0.337000,2.558000,-6.177000,-6.859000,4.565000,0.530000,-13.505000,-3.273000,-12.374000,-1.802000,-9.820000,-9.132000,8.219000,-7.028000,-7.219000,-7.227000,-7.620000
1980-01-09,-10.874000,-3.313000,-8.803000,-9.896000,-8.539000,-7.841000,-3.174000,-9.379000,4.272000,-10.692000,-0.106000,-0.184000,1.235000,-6.665000,-7.472000,2.534000,0.430000,-17.681000,-5.831000,-16.745000,-2.568000,-10.153000,-11.051000,8.026000,-9.637000,-7.760000,-6.367000,-7.908000
1980-01-10,-10.227000,-4.483000,-9.758000,-9.464000,-10.588000,-8.851000,-3.298000,-10.330000,3.710000,-13.225000,-1.780000,-0.881000,3.258000,-5.239000,-6.931000,1.995000,1.116000,-18.828000,-9.874000,-17.492000,-2.476000,-10.139000,-13.973000,5.674000,-10.821000,-6.491000,-7.531000,-9.494000
1980-01-11,-12.289000,-5.415000,-9.328000,-13.609000,-14.048000,-12.115000,-3.847000,-8.517000,1.970000,-12.291000,-4.092000,-1.088000,3.447000,-5.849000,-11.817000,3.083000,0.652000,-19.381000,-10.904000,-15.521000,-5.738000,-10.921000,-14.377000,5.440000,-12.455000,-8.721000,-8.449000,-13.320000
1980-01-12,-13.591000,-8.901000,-12.007000,-16.126000,-14.304000,-13.196000,-5.176000,-5.711000,0.724000,-10.514000,-5.364000,-1.394000,2.036000,-7.999000,-14.311000,2.630000,-0.105000,-9.828000,-13.490000,-6.140000,-7.875000,-10.768000,-14.052000,3.467000,-14.030000,-8.987000,-8.504000,-14.245000
1980-01-13,-14.132000,-10.409000,-15.883000,-13.181000,-14.959000,-13.627000,-5.813000,-5.546000,0.532000,-8.221000,-6.719000,-1.728000,-0.618000,-10.844000,-15.706000,2.663000,0.250000,-5.609000,-13.003000,-4.611000,-9.259000,-5.203000,-11.923000,1.603000,-16.598000,-6.976000,-11.171000,-14.680000
1980-01-14,-13.904000,-9.042000,-16.576000,-11.397000,-15.330000,-12.419000,-3.402000,0.096000,2.833000,-3.384000,-5.954000,-2.272000,-0.955000,-12.662000,-14.542000,1.169000,-0.400000,-7.719000,-11.923000,-3.785000,-7.149000,-3.624000,-13.284000,2.397000,-16.603000,-2.489000,-12.695000,-14.345000
1980-01-15,-13.380000,-7.504000,-14.596000,-10.328000,-15.141000,-11.068000,-3.000000,-6.036000,1.279000,-10.387000,-4.237000,-0.417000,-0.391000,-9.453000,-15.860000,1.048000,2.124000,-12.883000,-10.557000,-7.399000,-5.174000,-4.963000,-14.274000,2.328000,-16.639000,-6.129000,-9.517000,-14.136000
